"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"Massey University","504","1203","517","424","629"
"Universidade de Aveiro","505","565","976","301","439"
"Universidad Carlos III de Madrid","505","593","503","561","643"
"Università degli Studi di Bari Aldo Moro","507","630","1268","300","342"
"Université de Montpellier (comUE Languedoc Roussillon Universités)","508","1829","1682","473","198"
"University of Essex","509","1441","409","384","748"
"Northern Illinois University","510","1242","289","798","795"
"Nanjing University of Aeronautics & Astronautics / 南京航空航天大学","510","1228","813","838","390"
"Heriot-Watt University","510","1529","501","418","649"
"Università degli Studi di Perugia","513","1203","1363","259","324"
"Rockefeller University","514","4360","719","334","486"
"Universität Konstanz","515","872","529","460","644"
"Universidad Nacional de La Plata","516","186","580","320","699"
"Universidad de Murcia","517","261","578","430","664"
"University of Denver","517","1701","250","566","910"
"Indian Institute of Technology Bombay","519","331","766","428","546"
"Ohio University","520","1580","318","556","832"
"Binghamton University","521","2041","332","423","837"
"Bar Ilan University","522","360","887","316","541"
"American University Washington DC","523","1594","170","571","1091"
"Swansea University","523","3496","706","376","535"
"Université de Rennes I (comUE Université Bretagne Loire)","525","1735","842","483","470"
"Università degli Studi di Parma","526","936","861","363","517"
"AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie","527","703","652","900","540"
"Beijing University of Chemical Technology / 北京化工大学","528","2347","798","961","396"
"Northeastern University China / 东北大学","529","1684","873","1146","378"
"Medical College of Wisconsin","530","1433","911","503","468"
"University of Akron","530","2094","422","526","763"
"Université de Nantes (comUE Université Bretagne Loire)","530","939","923","540","469"
"University of Iceland / Háskóli Íslands","530","129","776","468","608"
"Jinan University / 暨南大学","534","1181","681","914","524"
"National Central University / 國立中央大學","534","423","690","667","596"
"Nanjing University of Science & Technology / 南京理工大学","534","1085","1088","720","372"
"Fordham University","537","1342","157","739","1174"
"Chulalongkorn University","537","85","736","746","594"
"Università degli Studi di Palermo","539","494","1242","370","399"
"Northern Arizona University","540","1277","281","419","1001"
"University of Massachusetts Boston","541","1580","354","538","860"
"Martin Luther Universität Halle Wittenberg","541","597","663","736","594"
"Wuhan University of Technology / 武汉理工大学","543","2131","793","935","432"
"Shenzhen University / 深圳大学","544","1669","935","665","427"
"Warsaw University of Technology / Politechnika Warszawska","545","446","739","721","572"
"Kyung Hee University / 경희대학교","546","337","1398","506","376"
"Université de Sherbrooke","547","736","703","426","660"
"Universiti Teknologi Malaysia","548","222","1461","520","374"
"China University of Mining & Technology / 中国矿业大学","548","1289","919","1503","361"
"Icahn School of Medicine at Mount Sinai","550","5041","1351","2443","132"
"Florida Atlantic University","551","1529","367","338","937"
"Southern Illinois University","552","820","391","726","852"
"University of Birmingham","553","1321","284","7356","109"
"National Research University Higher School of Economics / Национальный исследовательский университет Высшая школа экономики","553","45","460","461","937"
