Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
United Kingdom,Edinburgh,,,,,,,,,,,Edinburgh Napier University Online Masters in Data Science (MSc),Stafford -  Edinburgh Napier University,"The Online Masters in Data Science from Edinburgh Napier University UK teaches critical data tools and techniques, using live data and software to teach how to mine, report an                                            ...                                                    +                        ",Master,Part-time,English,Online
Australia,Online,Jan,months,,,,,,,,,Online Master of Data Science,James Cook University Online,"Are you looking to leverage expert knowledge of data science to propel your career in business or research? James Cook University’s Master of Data Science is an innovative, fu                                            ...                                                    +                        ",Master,Part-time,English,Online
France,Paris,Sep,months,,,,,,,,,MSc in Digital Marketing & Data Science,emlyon business school,"The MSc in Digital Marketing & Data Science pedagogy uniquely combines a strong academic background in business studies, marketing, data analysis and strategy with an in‐d                                            ...                                                    +                        ",Master,Full-time,English,Campus
Serbia,Belgrade,,years,48,,,,,,,,Bachelor in Software and Data Engineering,Singidunum University,"Our Software and Data Engineering study program is precisely tailored to educate young people for these professional roles. Initially, we have reviewed hundreds of job descrip                                            ...                                                    +                        ",Bachelor,Full-time,Multiple,Campus
USA,Romeoville,Sep,years,24,,,,,,,,MS in Data Science - Computational Biology and Bioinformatics,Lewis University Online,Customize your online MS in Data Science degree with a concentration in Computational Biology and Bioinformatics. This concentration looks at data analysis from the perspectiv                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Romeoville,Sep,years,24,,,,,,,,MS in Data Science,Lewis University Online,Discover the meaning within big data with an online MS in Data Science. Customize your education and choose from 2 concentration options in Computational Biology & Bioinfo                                            ...                                                    +                        ,Master,Part-time,English,Online
USA,Romeoville,Sep,years,24,,,,,,,,MS in Data Science - Computer Science,Lewis University Online,Customize your online MS in Data Science degree with a concentration in Computer Science. This concentration approaches data analysis from a programming perspective and prepar                                            ...                                                    +                        ,Master,Part-time,English,Online
Serbia,Belgrade,,semesters,,,,,,,,,Master in Data Science,Singidunum University,"The Data Science study program is a unique master’s degree program in Serbia, on a par with the best quality programs in Europe and the world. This program is thought in the S                                            ...                                                    +                        ",Master,Full-time,Multiple,Campus
Spain,Logroño,,,,,,,,,,,Master's Degree in Big Data Analysis and Visualization / Visual Analytics & Big Data,UNIR,"The Master in Big Data online will train you as a professional of BIG DATA, one of the most demanded professions in 2018 according to the Wanted of the Adecco Group, capable o                                            ...                                                    +                        ",Master,Part-time,Spanish,Online
Italy,Milan,,,,,,,,,,,Online Accredited Master in Machine Learning and Data Analysis at € 199 instead of € 1000 [Last 3 places available],Life Learning,This master has only one focus: to enable those who follow it to use the Machine Learning in R. Everything then orbits around the goal of allowing students to realize their mo                                            ...                                                    +                        ,Master,Full-time,Italian,Online
Austria,Kremsander Donau,Sep,semesters,,,,,,,,,Bachelor Informatics,IMC University of Applied Sciences Krems,"The internet of things, Industry 4.0 and social media; data mining and machine learning; the exponential growth in storage capacity and increase in cloud-based processing powe                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Finland,Espoo,Aug,years,36,,,,,,,,Bachelor of Science in Science and Technology (SCI) - Data Science,Aalto University,Data science gives you the foundations to become a top-level expert in the modern knowledge society. You will obtain the required skills to solve real-world problems using met                                            ...                                                    +                        ,Bachelor,Full-time,English,Campus
Finland,Espoo,,years,24,,,,,,,,"Master of Science in Computer, Communication and Information Sciences - Machine Learning, Data Science and Artificial Intelligence",Aalto University,Machine learning is one of the strong points of Aalto University. This solid education in modern computational data analysis gives you excellent opportunities for a career in                                             ...                                                    +                        ,Master,Full-time,Multiple,Campus
