Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
USI Università della Svizzera italiana;Master of Science in Computational Science;Europa;Switzerland;Lugano;Sep;;;Master;Full-time;English;Campus;The Master of Science degree in Computational Science (MCS) at the Università della Svizzera Italiana (USI) offers students the opportunity to acquire an in-depth understandin                                            ...                                                    +                        ;1019;2148;1698;743;1138
USI Università della Svizzera italiana;Master of Science in Software and Data Engineering (MSDE);Europa;Switzerland;Lugano;Sep;;;Master;Full-time;English;Campus;MSDE is a unique opportunity for students to become highly qualified, software and data engineers able to effectively deal with the increasing complexity of modern software sy                                            ...                                                    +                        ;1019;2148;1698;743;1138
Free University of Bozen-Bolzano;Master in Computational Data Science;Europa;Italy;Bolzano;Oct;24;;Master;Full-time;English;Campus;Our master programme will provide you with the key competencies that you will need to develop next-generation information systems used to describe and manage data, discover ne                                            ...                                                    +                        ;1038;2347;1685;936;1128
Leuphana University of Luneburg;Master in Management & Data Science;Europa;Germany;Lüneburg;Oct;;;Master;Full-time;English;Campus;The Mas­ters pro­gram­me in Management & Data Science is ge­a­red towards stu­dents wan­ting to ad­van­ce their skills in the data ana­ly­sis of real-world pheno­me­na.                                            ...                                                    +                        ;1061;2523;1577;1276;1134
University of Navarra;Master in Big Data Science;Europa;Spain;Madrid;;;;Master;Full-time;Spanish;Campus;The Executive Master in Big Data Science (MEBDS) was born as a response to this new reality: it offers a technical program and, at the same time, very practical: it has a mult                                            ...                                                    +                        ;1085;464;752;7356;569
Vietnam National University Hanoi;Bachelor in Business Data Analytics;Asien;Vietnam;Hanoi;Sep;;;Bachelor;Full-time;English;Campus;The Bachelor in Business Data Analytics is an English – taught course (except for 4 Vietnamese compulsory subjects in which international students will be provided with great                                             ...                                                    +                        ;1133;436;1855;1631;1230
Syracuse University;Master of Science in Enterprise Data Systems;Nordamerika;USA;Syracuse;Sep;24;;Master;Full-time;English;Campus;The MS in Enterprise Data Systems (EDS) from the iSchool is designed for students who want to prepare professionals to manage, design, support and optimize the infrastructure                                             ...                                                    +                        ;1184;8744;687;7356;586
Syracuse University;Master of Science in Applied Data Science;Nordamerika;USA;Syracuse;Sep;24;;Master;Full-time;English;Campus;The MS in Applied Data Science prepares students with the practical analytical and technical skills to apply analytical concepts to gain insight from small and large datasets.                                            ...                                                    +                        ;1184;8744;687;7356;586
"University of Campania ""Luigi Vanvitelli""";Bachelor Degree in Data Analytics;Europa;Italy;Santa Maria Capua Vetere;Oct;36;;Bachelor;Full-time;English;Campus;You should enroll in the program because you will master the skills you need to establish a successful Data Science career. You will learn how to analyze data and communicate                                             ...                                                    +                        ;1200;2406;6798;627;446
ZHAW School of Life Sciences And Facility Management;Master of Science (MSc) in Applied Computational Life Sciences;Europa;Switzerland;Wädenswil;Sep;;42;Master;Full-time;English;Campus;There is a growing need for experts who have specific knowledge in a scientific discipline combined with skills in data science, modeling, and computation. Programming, Algori                                            ...                                                    +                        ;1249;1311;1251;1143;1852
Czech University Of Life Sciences;BSc in Environmental Data Science;Europa;Czech Republic;Prague;Sep;36;;Bachelor;Full-time;English;Campus;Data science is the main driver for innovation in the coming years. In geosciences, there has been an explosion of data collected from various sources. Sensors, satellites and                                            ...                                                    +                        ;1286;2245;2148;1620;1317
Bentley University;Master in Marketing Analytics;Nordamerika;USA;Waltham;Sep;24;;Master;Full-time;English;Campus;"Program features: develops the critical expertise in qualitative and quantitative analysis that is in high demand among leading companies across a range of industries; teaches                                            ...                                                    +                        ";1308;4125;846;969;2312
University of Prince Edward Island;BSc in Analytics;Nordamerika;Canada;Charlottetown;;48;;Bachelor;;English;Campus;Analytics is situated at the confluence of statistics, computer science and mathematics all centered on finding, interpreting and presenting meaningful patterns in data. We of                                            ...                                                    +                        ;1452;3231;1510;1366;2025
Long Island University;Master of Science in Data Analytics and Strategic Business Intelligence;Nordamerika;USA;Brookville;;;;Master;Full-time;English;Campus;The College of Management (C.O.M.) at L.I.U. Post offers a new, 30-credit, specialized Master of Science in Data Analytics and Strategic Business Intelligence program (M.D.A.)                                            ...                                                    +                        ;1483;5082;1095;1648;2268
Institut Eurecom École dIngénieurs en Systemes de Communication;Master in Internet of Things (IoT);Europa;France;Biot;Sep;;;Master;Full-time;English;Campus;The Internet of Things (IoT) represents a new stage in the digital revolution, fully contributing to the construction of a digital society. Several sectors of the digital soci                                            ...                                                    +                        ;1513;3769;2283;1220;1790
Institut Eurecom École dIngénieurs en Systemes de Communication;Master in Data Science and Engineering;Europa;France;Biot;Sep;;;Master;Full-time;English;Campus;"The ""Big Data"" phenomenon is rooted in the field of data science and engineering, which aims at developing both computer and mathematical tools for data storage and processing                                            ...                                                    +                        ";1513;3769;2283;1220;1790
New York Institute of Technology;Data Science, M.S.;Nordamerika;USA;New York;Sep;;;Master;Full-time;English;Campus;Our networked world is drowning in data, affecting the way business, government, science, and healthcare are conducted. The NYIT Data Science, M.S. is designed to help profess                                            ...                                                    +                        ;1629;5124;1464;1505;2375
University of Economics Prague ;Master in Economic Data Analysis;Europa;Czech Republic;Prague;Sep;24;;Master;Full-time;English;Campus;The aim of this master program is to provide students with knowledge and abilities in the area of economic data analysis. This are covers many topics related to data acquisiti                                            ...                                                    +                        ;1673;936;1563;1568;2609
Université de technologie de Troyes;Mastère Spécialisé® Expert in Big Analytics and Metrics;Europa;France;Troyes;;;;Master;Full-time;Multiple;Campus;Expert's objective in Big Analytics and Metrics is to design, develop and pilot innovative solutions to address the complexity of managing and analyzing these large amounts of                                            ...                                                    +                        ;1861;7465;4089;1396;1763
Cardiff Metropolitan University;BSc (Hons) Data Science;Europa;United Kingdom;Cardiff;;;48;Bachelor;Full-time;English;Campus;Data Science is the field of scientific methods, processes, and algorithms that allow the gleaning of knowledge or intelligence from data in its various forms.                                    ;1875;4746;3044;1807;2141
University of Evansville;Bachelor of Science in Statistics and Data Science;Nordamerika;USA;Evansville;Aug;48;;Bachelor;Full-time;English;Campus;UE’s program in statistics and data science combines state-of-the-art tools and techniques from the field of data science with a mathematically rigorous tradition of classical                                            ...                                                    +                        ;1955;4986;889;3171;3333
University of New Haven;MSc in Data Science;Nordamerika;USA;;Aug;;;Master;Full-time;English;Campus;The Master of Science in data science prepares students for positions in the exploding new fields of data analytics, big data, and data science. The program combines fundament                                            ...                                                    +                        ;1959;5211;1827;1803;2863
Dalarna University College  ;Master in Data Science;Europa;Sweden;Borlänge;Sep;24;;Master;Full-time;English;Campus;Harness the power of data analytics to solve the practical problems of companies and organizations worldwide.                                    ;2059;3257;3721;2435;2155
Universitat de Vic;Master in Omic Data Analysis;Europa;Spain;Barcelona;;;;Master;Part-time;English;Campus;The aim of the Master is to produce well-trained professionals in Bioinformatics and Omics Data Analysis who after graduation would be able to perform efficient and rigorous a                                            ...                                                    +                        ;2181;1719;3724;1712;2651
University of Indianapolis;Master of Science in Data Analytics;Nordamerika;USA;Indianapolis;Aug;;;Master;Full-time;English;Campus;Data in all forms continues to expand and become more readily available to both businesses and the consumer. As this happens, the demand for those who can interpret and apply                                             ...                                                    +                        ;2238;3835;1924;2956;3166
University of the Sciences in Philadelphia;BS in Data Science;Nordamerika;USA;Philadelphia;Sep;48;;Bachelor;Full-time;English;Campus;The USciences Data Science bachelor’s program provides you with the knowledge, skills, and technical foundation to make sense of an avalanche of data, unlock scientific insigh                                            ...                                                    +                        ;2282;8880;3500;2870;2438
University of Mauritius;Bachelor (Hons) in Data Science;Afrika;Mauritius;Réduit;Aug;;60;Bachelor;Full-time;English;Campus;Data Science is a rapidly growing and interdisciplinary field that consists of extracting knowledge and insights from data to help understand a problem area and make decisions                                            ...                                                    +                        ;2356;2021;5795;2205;2118
Jacobs University Bremen;MSc in Data Engineering;Europa;Germany;Bremen;;24;;Master;Full-time;English;Campus;Data engineering is an emerging profession concerned with big data approaches to data acquisition, data management, and data analysis. The MSc program at Jacobs University off                                            ...                                                    +                        ;2462;4143;12171;1018;1153
European University Cyprus;Bachelor of Science in Computer Science;Europa;Cyprus;Nicosia;;48;;Bachelor;Full-time;English;Campus;The Computer Science program covers the foundations of the field in theory and practice, including the interaction between hardware and software, the human-computer interface,                                            ...                                                    +                        ;2564;1539;5235;1985;2754
Ohio Wesleyan University;Bachelor in Data Analytics;Nordamerika;USA;Delaware;Sep;;;Bachelor;Full-time;English;Campus;Data analytics is a rapidly growing profession across a wide range of fields, including finance, healthcare, insurance, biomedical research, computer science, marketing, and m                                            ...                                                    +                        ;2616;5082;1100;4659;4031
